2021-09-08 12:12:55.677 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-08 12:12:55.979 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-09-08 12:12:56.306 INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3bd3736f, org.springframework.security.web.context.SecurityContextPersistenceFilter@6f69956a, org.springframework.security.web.header.HeaderWriterFilter@77dbee40, org.springframework.web.filter.CorsFilter@39dcb181, org.springframework.security.web.authentication.logout.LogoutFilter@309cd747, com.xtw.bridge.filter.JwtAuthenticationTokenFilter@3d25d92b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5afb2932, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11b56107, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@14e0779, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@381680e6, org.springframework.security.web.session.SessionManagementFilter@283c85a0, org.springframework.security.web.access.ExceptionTranslationFilter@7bbacfa3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@37337908]
2021-09-08 12:12:56.394 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-09-08 12:12:56.450 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-09-08 12:12:56.480 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-08 12:12:56.505 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Started BridgeonzhoudaiApplication in 7.459 seconds (JVM running for 8.309)
2021-09-08 12:13:10.906 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-08 12:13:10.907 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-08 12:13:10.909 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-09-08 12:15:25.597 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2021-09-08 12:15:25.622 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Starting BridgeonzhoudaiApplication using Java 1.8.0_261 on DESKTOP-CJ6RO9E with PID 8300 (D:\software\IDEAAllProj\Spring\bridge_zhoudai\target\classes started by admin in D:\software\IDEAAllProj\collect_zhoudai)
2021-09-08 12:15:25.624 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - The following profiles are active: dev
2021-09-08 12:15:25.724 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-09-08 12:15:25.725 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-09-08 12:15:27.523 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-08 12:15:27.531 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-08 12:15:27.532 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-08 12:15:27.532 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
